,base_market,quote_market,hedge_ratio,half_life
0,ZEC-USD,DOT-USD,8.838854423105886,11.0
1,ETH-USD,CELO-USD,2481.21114815048,19.0
2,ETH-USD,RUNE-USD,926.7440306731048,9.0
3,1INCH-USD,YFI-USD,7.33156726443035e-05,14.0
4,1INCH-USD,DOGE-USD,5.490892316333155,12.0
5,ENJ-USD,CELO-USD,0.5145346346189077,20.0
6,SNX-USD,CELO-USD,3.1500678541857328,24.0
7,FIL-USD,CELO-USD,6.5305114719920265,23.0
8,CELO-USD,ATOM-USD,0.04956045243597049,19.0
9,CELO-USD,XTZ-USD,0.6573852277589889,13.0
10,CELO-USD,COMP-USD,0.015244573951379469,11.0
11,CELO-USD,YFI-USD,9.269475279633905e-05,18.0
12,CELO-USD,DOT-USD,0.10982616241183901,12.0
13,CELO-USD,XMR-USD,0.0033071399963453423,21.0
14,CELO-USD,RUNE-USD,0.37333318453966774,20.0
15,XTZ-USD,ZRX-USD,4.824205838054995,16.0
16,LINK-USD,DOGE-USD,79.53894450741764,8.0
17,LINK-USD,EOS-USD,6.464754488438188,13.0
18,LINK-USD,MATIC-USD,7.204993519991493,15.0
19,LINK-USD,XLM-USD,77.30922077233373,15.0
20,COMP-USD,YFI-USD,0.006080042195368856,15.0
21,COMP-USD,RUNE-USD,24.489556423924945,21.0
22,YFI-USD,DOT-USD,1184.6868479140758,14.0
23,YFI-USD,RUNE-USD,4027.597960546641,11.0
24,DOGE-USD,EOS-USD,0.08127581955927077,8.0
25,DOGE-USD,MATIC-USD,0.09057994620983693,17.0
26,DOGE-USD,BCH-USD,0.0007167885880424566,15.0
27,DOGE-USD,XLM-USD,0.9719332325449686,15.0
28,EOS-USD,XLM-USD,11.958412783478972,12.0
29,MATIC-USD,BCH-USD,0.007913133154964867,13.0
30,MATIC-USD,XLM-USD,10.729924342354586,14.0
